,Threshold_Value,Accuracy,Precision,Recall,F1_Score,Sensibility,Specifity
188,0.9400000000000001,0.914779182605614,1.0,0.00012229423994129877,0.00024455857177794083,0.00012229423994129877,0.0
189,0.9450000000000001,0.914779182605614,1.0,0.00012229423994129877,0.00024455857177794083,0.00012229423994129877,0.0
190,0.9500000000000001,0.9147687593158152,,0.0,,0.0,0.0
191,0.9550000000000001,0.9147687593158152,,0.0,,0.0,0.0
192,0.96,0.9147687593158152,,0.0,,0.0,0.0
193,0.965,0.9147687593158152,,0.0,,0.0,0.0
194,0.97,0.9147687593158152,,0.0,,0.0,0.0
195,0.975,0.9147687593158152,,0.0,,0.0,0.0
196,0.98,0.9147687593158152,,0.0,,0.0,0.0
197,0.985,0.9147687593158152,,0.0,,0.0,0.0
198,0.99,0.9147687593158152,,0.0,,0.0,0.0
199,0.995,0.9147687593158152,,0.0,,0.0,0.0
200,1.0,0.9147687593158152,,0.0,,0.0,0.0
